2025-05-28 09:23:57 DEBUG - Starting the application...
2025-05-28 09:23:57 DEBUG - Read Input from CSV 
2025-05-28 09:23:57 DEBUG - InputCSVReaderUtil: readCSVFile
2025-05-28 09:23:57 DEBUG - Read Input from JSON 
2025-05-28 09:23:57 DEBUG - InputJSONReaderUtil: readJSONFile
2025-05-28 09:23:57 DEBUG - Connected to MySQL
2025-05-28 09:23:57 DEBUG - ChargeableDao: createTable
2025-05-28 09:23:57 DEBUG - Chargeable Table created 
2025-05-28 09:23:57 DEBUG - DomainDao: createTable
2025-05-28 09:23:57 DEBUG - Domain Table created 
2025-05-28 09:23:57 DEBUG - ChargeableService: insertChargeableData
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
2025-05-28 09:23:57 ERROR - Invalid PartNumber 
